"size","learning_rate","maxit","train_nmse","train_rmse","test_nmse","test_rmse"
"5x5x5",0.001,50,1.00008640640238,1.00002287274048,1.00028374615598,0.999806863602696
"5x5x5",0.001,100,1.00004236183033,1.00000085502287,1.00023553041368,0.999782674298364
"5x5x5",0.001,200,0.999993020144576,0.999976181106107,1.00019111697029,0.999760468155645
"5x5x5",0.005,50,0.968799661028255,0.983639680065847,0.969878836374079,0.98405694973372
"5x5x5",0.005,100,0.949058092911998,0.972610315725947,0.951786612332534,0.974245258048844
"5x5x5",0.005,200,0.760654642163815,0.871034872479018,0.775469093839848,0.879295539920873
"5x5x5",0.01,50,0.84548249572553,0.917076941726707,0.85655261845125,0.922933436980306
"5x5x5",0.01,100,0.736675443388738,0.858228379935964,0.746762063338174,0.863870292253387
"5x5x5",0.01,200,0.723951061287699,0.850836409096295,0.742995638345364,0.861724113625255
"5x5x5",0.05,50,0.728172493021655,0.85331294975427,0.742928714511891,0.861693816234893
"5x5x5",0.05,100,0.725664860098096,0.851840630508592,0.744485175881247,0.862580991026563
"5x5x5",0.05,200,0.722564806079814,0.850021223343382,0.745476034193341,0.863149357898724
"10x10x10",0.001,50,1.00002244866734,0.999990925717017,1.00020371720501,0.999766605192402
"10x10x10",0.001,100,0.999511635117958,0.999735625533855,0.99969423052671,0.999508499709812
"10x10x10",0.001,200,0.979143025722585,0.988962048316647,0.977425683100717,0.98752214509544
"10x10x10",0.005,50,0.923103015677458,0.959092296770411,0.924991717412706,0.959434494348547
"10x10x10",0.005,100,0.747640802164943,0.863462580439084,0.763085359041023,0.871892252826983
"10x10x10",0.005,200,0.70242083530404,0.838088449799327,0.73070760753536,0.854581740525975
"10x10x10",0.01,50,0.757726964132447,0.869345850517261,0.764954849399385,0.87347364124412
"10x10x10",0.01,100,0.705918767561624,0.840172538171028,0.729867726867453,0.85410409201448
"10x10x10",0.01,200,0.698227180117354,0.835581818518288,0.735493055598903,0.857372593815795
"10x10x10",0.05,50,0.708550036943155,0.841733544155284,0.73403359779261,0.85649928156718
"10x10x10",0.05,100,0.701526022502209,0.837552242754126,0.736144876562536,0.857757651469179
"10x10x10",0.05,200,0.696147294259309,0.834337346025639,0.732420151846547,0.855607673746343
"20x20x20",0.001,50,0.999955905604812,0.999957633390037,1.00015238528054,0.999741160140378
"20x20x20",0.001,100,0.999040818299539,0.999499454298149,0.999125472810218,0.999231418589945
"20x20x20",0.001,200,0.857326557763026,0.923805999021051,0.857474121577441,0.923958015545949
"20x20x20",0.005,50,0.767526142040258,0.87506428374274,0.774088095707915,0.878575720529104
"20x20x20",0.005,100,0.698869034043692,0.835964117955794,0.723805946047211,0.850534654043997
"20x20x20",0.005,200,0.680451713036874,0.824876424650299,0.726658348788574,0.85218645085289
"20x20x20",0.01,50,0.705172574465733,0.839722750831248,0.726274866287286,0.85198455903107
"20x20x20",0.01,100,0.686208826169882,0.828357516136758,0.723799216279215,0.850534411058533
"20x20x20",0.01,200,0.673416751074644,0.820603374573135,0.729076717631288,0.853609553194064
"20x20x20",0.05,50,0.683337517485856,0.826622219604858,0.725954979425201,0.851771819408212
"20x20x20",0.05,100,0.670172809547393,0.818620010929784,0.726531461642888,0.852135749513639
"20x20x20",0.05,200,0.661180842622118,0.813086970785152,0.729554731752337,0.853931266390179
